name, numberOfPictures
Homer Simpson,2246
Ned Flanders,1454
Moe Szyslak,1452
Lisa Simpson,1354
Bart Simpson,1342
Marge Simpson,1291
Krusty The Clown,1206
Principal Skinner,1194
Charles Montgomery Burns,1193
Milhouse Van Houten,1079
Chief Wiggum,986
Abraham Grampa Simpson,913
Sideshow Bob,877
Apu Nahasapeemapetilon,623
Kent Brockman,498
Comic Book Guy,469
Edna Krabappel,457
Nelson Muntz,358
Lenny Leonard,310
Mayor Quimby,246
Waylon Smithers,181
Maggie Simpson,128
Groundskeeper Willie,121
Barney Gumble,106
Selma Bouvier,103
Carl Carlson,98
Ralph Wiggum,89
Patty Bouvier,72
Martin Prince,71
Professor John Frink,65
Snake Jailbird,55
Cletus Spuckler,47
Rainier Wolfcastle,45
Agnes Skinner,42
Sideshow Mel,40
Otto Mann,32
Fat Tony,27
Gil,27
Miss Hoover,17
Disco Stu,8
Troy Mcclure,8
Lionel Hutz,3
Jimbo Jones,0
Bumblebee Man,0
Hans Moleman,0
Helen Lovejoy,0
Jasper Beardly,0